Samsung Push Service,com.sec.spp.push
Samsung Visit In,com.samsung.android.ipsgeofence
Galaxy Themes,com.samsung.android.themestore
Wallpaper services,com.samsung.android.dynamiclock
Samsung Free,com.samsung.android.app.spage
My Galaxy,com.mygalaxy
Crocro and friends,com.samsung.android.app.camera.sticker.facearavatar.preload
Samsung Kids Installer,com.samsung.android.kidsinstaller
Samsung Galaxy Friends,com.samsung.android.mateagent
Meta App Manager,com.facebook.appmanager
Meta App Installer,com.facebook.system
Meta Services,com.facebook.services
AR Doodle,com.samsung.android.ardrawing
AR Emoji,com.samsung.android.aremoji
AR Zone,com.samsung.android.arzone
AR Emoji Editor,com.samsung.android.aremojieditor
AR Emoji Stickers,com.sec.android.mimage.avatarstickers
DECO PIC,com.samsung.android.livestickers
Sticker Center,com.samsung.android.stickercenter
Application recommendations,com.samsung.android.mapsagent
Smart suggestions,com.samsung.android.smartsuggestions
Recommended apps,com.samsung.android.app.omcagent
Customization Service,com.samsung.android.rubin.app
Hiya Service,com.hiya.star
Game Launcher,com.samsung.android.game.gamehome
Bixby Voice,com.samsung.android.bixby.agent
Bixby Voice2,com.samsung.android.bixby.agent.dummy
Bixby dictation,com.samsung.android.bixby.service
Bixby Voice Wakeup,com.samsung.android.bixby.wakeup
